latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
50.51,106.562,308.9,1.4,1.2,2018-10-20,0425,T,66,6.0NRT,280.6,16.5,D
50.502,106.602,305.6,1.4,1.2,2018-10-20,0425,T,33,6.0NRT,283,11.8,D
50.498,106.621,302.1,1.4,1.2,2018-10-20,0425,T,32,6.0NRT,283,8.9,D
28.035,96.066,311.6,1.2,1.1,2018-10-20,0435,T,39,6.0NRT,298.8,8.5,D
28.029,95.436,312.1,1.1,1.1,2018-10-20,0435,T,0,6.0NRT,299.2,8.2,D
26.583,101.667,309.9,3,1.6,2018-10-20,0435,T,60,6.0NRT,296.3,26.6,D
26.582,101.66,309.9,3,1.6,2018-10-20,0435,T,69,6.0NRT,296.2,25.4,D
25.234,102.529,301.3,3.7,1.8,2018-10-20,0435,T,19,6.0NRT,287,14.5,D
26.715,93.533,309,1,1,2018-10-20,0435,T,43,6.0NRT,297.4,6,D
22.89,98.125,308.5,2,1.4,2018-10-20,0435,T,62,6.0NRT,294.5,15.7,D
23.776,86.392,325.3,1.8,1.3,2018-10-20,0435,T,78,6.0NRT,306.9,30.3,D
21.952,92.207,312.4,1,1,2018-10-20,0435,T,67,6.0NRT,299.7,6.5,D
20.957,85.182,321.6,2,1.4,2018-10-20,0435,T,76,6.0NRT,300.5,30.8,D
20.966,85.177,317.3,2,1.4,2018-10-20,0435,T,69,6.0NRT,301.2,21.1,D
33.262,131.649,318.9,1,1,2018-10-20,0430,A,0,6.0NRT,300.6,11.1,D
33.211,130.387,308.3,1,1,2018-10-20,0430,A,45,6.0NRT,294.4,3.1,D
35.306,128.314,307.6,1.1,1,2018-10-20,0430,A,59,6.0NRT,296.8,5.1,D
35.304,128.303,308.1,1.1,1,2018-10-20,0430,A,61,6.0NRT,297.5,5.6,D
35.999,129.385,311.7,1,1,2018-10-20,0430,A,62,6.0NRT,300.4,6,D
35.796,127.635,302.8,1.1,1.1,2018-10-20,0430,A,32,6.0NRT,291.6,5.7,D
35.794,127.623,302.2,1.1,1.1,2018-10-20,0430,A,34,6.0NRT,291.9,4.9,D
36.418,127.802,303.7,1.1,1,2018-10-20,0430,A,37,6.0NRT,292.6,4.8,D
37.483,129.049,306,1,1,2018-10-20,0430,A,63,6.0NRT,293.6,7.1,D
39.075,126.63,300.9,1.1,1.1,2018-10-20,0430,A,39,6.0NRT,289,5,D
39.072,126.616,302.1,1.1,1.1,2018-10-20,0430,A,49,6.0NRT,291.2,5.8,D
39.464,126.679,313.2,1.1,1,2018-10-20,0430,A,73,6.0NRT,292,13.2,D
39.462,126.667,305.4,1.1,1,2018-10-20,0430,A,61,6.0NRT,291.9,6.6,D
41.386,123.276,301.4,1.4,1.2,2018-10-20,0430,A,32,6.0NRT,290.9,3.5,D
41.362,122.98,314.5,1.5,1.2,2018-10-20,0430,A,75,6.0NRT,297.8,16.1,D
41.359,122.963,308.3,1.5,1.2,2018-10-20,0430,A,67,6.0NRT,296.5,7.9,D
41.366,122.972,309.6,1.5,1.2,2018-10-20,0430,A,45,6.0NRT,297.2,8.7,D
41.841,123.759,305.8,1.3,1.1,2018-10-20,0430,A,60,6.0NRT,294.8,7.2,D
42.008,123.822,306.7,1.3,1.1,2018-10-20,0430,A,59,6.0NRT,294.6,8.1,D
42.282,123.726,306.2,1.3,1.1,2018-10-20,0430,A,45,6.0NRT,294,7.8,D
42.75,126.201,301.4,1,1,2018-10-20,0430,A,47,6.0NRT,290.2,3.9,D
42.287,122.769,306,1.4,1.2,2018-10-20,0430,A,58,6.0NRT,295,6.5,D
43.696,131.803,316.6,1.2,1.1,2018-10-20,0430,A,77,6.0NRT,292.3,17.6,D
43.694,131.788,317.4,1.2,1.1,2018-10-20,0430,A,78,6.0NRT,293.1,18.4,D
42.587,123.91,306.5,1.3,1.1,2018-10-20,0430,A,61,6.0NRT,295,7.2,D
44.18,135.629,301.7,2,1.4,2018-10-20,0430,A,0,6.0NRT,287.2,12.7,D
43.912,131.554,303.7,1.2,1.1,2018-10-20,0430,A,57,6.0NRT,293.2,5.6,D
43.98,132.097,300.9,1.3,1.1,2018-10-20,0430,A,42,6.0NRT,287.5,6.7,D
43.978,132.081,308.1,1.3,1.1,2018-10-20,0430,A,67,6.0NRT,287.9,13.2,D
44.127,132.636,303,1.4,1.2,2018-10-20,0430,A,54,6.0NRT,290.7,7.2,D
44.125,132.619,302.4,1.4,1.2,2018-10-20,0430,A,52,6.0NRT,290.6,6.7,D
41.993,119.171,300,2.3,1.5,2018-10-20,0430,A,13,6.0NRT,281.6,11.2,D
42.002,119.162,301,2.3,1.5,2018-10-20,0430,A,42,6.0NRT,281.2,13.2,D
44.393,132.359,310.6,1.3,1.2,2018-10-20,0430,A,70,6.0NRT,291.3,14.2,D
43.142,123.539,306.3,1.3,1.1,2018-10-20,0430,A,59,6.0NRT,294.8,6.3,D
44.433,132.542,311.7,1.4,1.2,2018-10-20,0430,A,72,6.0NRT,291,15.5,D
44.43,132.553,307.3,1.4,1.2,2018-10-20,0430,A,63,6.0NRT,291.1,10.3,D
44.429,132.536,306.1,1.4,1.2,2018-10-20,0430,A,52,6.0NRT,291,9.5,D
43.875,123.507,306,1.2,1.1,2018-10-20,0430,A,56,6.0NRT,295.6,4.7,D
43.873,123.492,305.2,1.2,1.1,2018-10-20,0430,A,53,6.0NRT,295.2,4.1,D
43.69,122.307,321.3,1.4,1.2,2018-10-20,0430,A,79,6.0NRT,298.3,25.6,D
45.828,134.558,300.3,1.8,1.3,2018-10-20,0430,A,34,6.0NRT,284.2,10.4,D
45.901,134.469,304,1.8,1.3,2018-10-20,0430,A,58,6.0NRT,287.7,13.9,D
45.912,134.467,300.6,1.8,1.3,2018-10-20,0430,A,20,6.0NRT,287.1,8.9,D
46.091,133.857,308.2,1.7,1.3,2018-10-20,0430,A,67,6.0NRT,276.6,22.4,D
46.088,133.852,300.2,1.7,1.3,2018-10-20,0430,A,18,6.0NRT,276.1,11.3,D
45.982,131.156,309.6,1.2,1.1,2018-10-20,0430,A,69,6.0NRT,289.2,13.2,D
45.331,121.751,309.2,1.4,1.2,2018-10-20,0430,A,65,6.0NRT,298.8,7.5,D
45.67,122.438,306,1.3,1.1,2018-10-20,0430,A,57,6.0NRT,295.3,5.7,D
45.612,121.806,314.3,1.4,1.2,2018-10-20,0430,A,73,6.0NRT,295.6,16,D
47.735,131.129,304.8,1.3,1.1,2018-10-20,0430,A,60,6.0NRT,282.3,9.7,D
47.733,131.112,302.5,1.3,1.1,2018-10-20,0430,A,50,6.0NRT,283.7,7.4,D
47.91,132.332,337.5,1.5,1.2,2018-10-20,0430,A,91,6.0NRT,279,75.7,D
47.908,132.312,305.4,1.5,1.2,2018-10-20,0430,A,61,6.0NRT,278.3,15.7,D
47.877,131.526,303.6,1.4,1.2,2018-10-20,0430,A,45,6.0NRT,289.4,7.3,D
47.882,131.52,302.2,1.4,1.2,2018-10-20,0430,A,40,6.0NRT,289.1,6.2,D
47.947,131.865,306.7,1.4,1.2,2018-10-20,0430,A,64,6.0NRT,286,13.1,D
47.945,131.846,308.4,1.4,1.2,2018-10-20,0430,A,67,6.0NRT,286,15,D
47.968,131.427,309.6,1.4,1.2,2018-10-20,0430,A,69,6.0NRT,289.9,13.1,D
47.965,131.421,311.9,1.4,1.2,2018-10-20,0430,A,72,6.0NRT,290.2,15.6,D
48.046,131.608,315.3,1.4,1.2,2018-10-20,0430,A,76,6.0NRT,286,21.7,D
48.044,131.59,318.5,1.4,1.2,2018-10-20,0430,A,79,6.0NRT,287.3,26,D
48.453,135.222,303.1,2.1,1.4,2018-10-20,0430,A,55,6.0NRT,285.1,19,D
48.454,135.214,304.2,2.1,1.4,2018-10-20,0430,A,58,6.0NRT,285,20.8,D
48.486,135.326,314.3,2.2,1.4,2018-10-20,0430,A,75,6.0NRT,286,42.1,D
47.068,123.023,302.9,1.1,1.1,2018-10-20,0430,A,53,6.0NRT,292.8,2.7,D
48.558,135.647,321.9,2.2,1.5,2018-10-20,0430,A,81,6.0NRT,285.7,67.1,D
48.568,135.641,310.8,2.2,1.5,2018-10-20,0430,A,37,6.0NRT,284.8,31.6,D
48.785,134.977,307.6,2.1,1.4,2018-10-20,0430,A,50,6.0NRT,285.7,26.6,D
48.902,132.776,312.2,1.6,1.2,2018-10-20,0430,A,72,6.0NRT,283.1,23.5,D
48.894,132.689,300.4,1.6,1.2,2018-10-20,0430,A,35,6.0NRT,282.3,10.1,D
48.892,132.667,307.6,1.6,1.2,2018-10-20,0430,A,66,6.0NRT,282.7,18.7,D
48.893,132.683,305.8,1.6,1.2,2018-10-20,0430,A,46,6.0NRT,282.5,15,D
48.911,132.769,313.2,1.6,1.2,2018-10-20,0430,A,73,6.0NRT,283.1,25.6,D
47.743,122.824,300.3,1.1,1.1,2018-10-20,0430,A,35,6.0NRT,290.1,2.7,D
48.998,132.438,335.1,1.6,1.2,2018-10-20,0430,A,89,6.0NRT,279.2,73,D
48.996,132.416,311.7,1.6,1.2,2018-10-20,0430,A,72,6.0NRT,278.7,24.5,D
49,131.448,301.6,1.4,1.2,2018-10-20,0430,A,48,6.0NRT,285.7,9.5,D
49.286,130.042,306.3,1.2,1.1,2018-10-20,0430,A,63,6.0NRT,287.9,9.7,D
49.284,130.025,301.8,1.2,1.1,2018-10-20,0430,A,40,6.0NRT,287.7,6.2,D
49.286,130.035,308.2,1.2,1.1,2018-10-20,0430,A,67,6.0NRT,288.1,11.4,D
49.382,130.08,359.9,1.2,1.1,2018-10-20,0430,A,99,6.0NRT,290,117.7,D
49.38,130.063,329.6,1.2,1.1,2018-10-20,0430,A,86,6.0NRT,289.4,38.2,D
49.383,130.092,309,1.2,1.1,2018-10-20,0430,A,63,6.0NRT,286.1,12.3,D
49.381,130.075,349.1,1.2,1.1,2018-10-20,0430,A,96,6.0NRT,291.4,83.4,D
49.479,129.017,302.4,1.1,1.1,2018-10-20,0430,A,49,6.0NRT,285,7.4,D
49.478,129.001,309,1.1,1.1,2018-10-20,0430,A,59,6.0NRT,285.6,12.3,D
49.639,129.929,305.4,1.2,1.1,2018-10-20,0430,A,60,6.0NRT,285.1,10,D
49.64,129.921,304,1.2,1.1,2018-10-20,0430,A,49,6.0NRT,285.8,9,D
49.085,124.192,309.5,1,1,2018-10-20,0430,A,69,6.0NRT,292.4,7.8,D
49.083,124.179,321.1,1,1,2018-10-20,0430,A,81,6.0NRT,292.7,17.7,D
49.092,124.175,328.9,1,1,2018-10-20,0430,A,86,6.0NRT,293.2,25.8,D
49.161,124.086,302.8,1,1,2018-10-20,0430,A,54,6.0NRT,292.4,3.7,D
49.946,129.171,301.8,1.2,1.1,2018-10-20,0430,A,49,6.0NRT,285.5,7.1,D
49.316,124.413,308.9,1,1,2018-10-20,0430,A,68,6.0NRT,292.6,7.5,D
49.817,127.737,301.3,1.1,1,2018-10-20,0430,A,46,6.0NRT,286.8,5,D
49.815,127.723,310.4,1.1,1,2018-10-20,0430,A,70,6.0NRT,286.4,11.5,D
50.056,128.272,311.2,1.1,1,2018-10-20,0430,A,71,6.0NRT,284.3,12.4,D
50.054,128.256,303.8,1.1,1,2018-10-20,0430,A,57,6.0NRT,284.4,7,D
50.231,127.88,300.5,1.1,1,2018-10-20,0430,A,28,6.0NRT,283.3,5.2,N
50.875,126.424,342.8,1,1,2018-10-20,0435,A,93,6.0NRT,275.8,50.6,D
50.873,126.409,343.4,1,1,2018-10-20,0435,A,93,6.0NRT,276.9,51.6,D
50.885,126.428,320.7,1,1,2018-10-20,0435,A,80,6.0NRT,274.5,20.8,D
50.883,126.414,343,1,1,2018-10-20,0435,A,93,6.0NRT,278.5,52.2,D
51.507,128.458,317.8,1.2,1.1,2018-10-20,0435,A,0,6.0NRT,274.9,23.6,D
50.437,118.987,319.1,1.4,1.2,2018-10-20,0435,A,79,6.0NRT,289.8,27.9,D
50.433,118.967,305.8,1.4,1.2,2018-10-20,0435,A,62,6.0NRT,289.1,11,D
50.484,118.942,318.2,1.4,1.2,2018-10-20,0435,A,76,6.0NRT,290.2,25.7,D
50.461,118.827,307.3,1.4,1.2,2018-10-20,0435,A,65,6.0NRT,288,12.9,D
50.457,118.808,300.8,1.4,1.2,2018-10-20,0435,A,27,6.0NRT,288.3,6.5,D
50.482,118.959,307.7,1.4,1.2,2018-10-20,0435,A,31,6.0NRT,287.2,12,D
50.492,118.954,318.8,1.4,1.2,2018-10-20,0435,A,79,6.0NRT,289.5,26.6,D
50.488,118.935,325.8,1.4,1.2,2018-10-20,0435,A,84,6.0NRT,290.8,38.6,D
50.464,118.82,308.4,1.4,1.2,2018-10-20,0435,A,67,6.0NRT,287.7,14.6,D
50.502,118.95,350.4,1.4,1.2,2018-10-20,0435,A,96,6.0NRT,291.2,103.3,D
50.498,118.93,343.4,1.4,1.2,2018-10-20,0435,A,93,6.0NRT,292.5,80.6,D
50.361,116.886,354.7,1.8,1.3,2018-10-20,0435,A,98,6.0NRT,291.4,156.2,D
50.356,116.863,361,1.8,1.3,2018-10-20,0435,A,100,6.0NRT,292.6,191.8,D
50.351,116.84,359.6,1.8,1.3,2018-10-20,0435,A,99,6.0NRT,293.5,185.4,D
50.383,116.926,340.6,1.7,1.3,2018-10-20,0435,A,86,6.0NRT,289.6,91.7,D
